stock,annual return,annual volatility
Agricultural Development Bank Limited ( ADBL ),-0.10787760324541573,0.28136190137397454
Citizens Bank International Limited ( CZBIL ),-0.13236290439687481,0.28398844108383126
Everest Bank Limited ( EBL ),-0.1574780059404861,0.3051077559749118
Machhapuchchhre Bank Limited ( MBL ),-0.10335961126251236,0.2946709894750338
Nabil Bank Limited ( NABIL ),-0.1515331498048359,0.29794061878321054
Nepal Bank Limited ( NBL ),-0.07460452832013076,0.2746613990672756
Nepal SBI Bank Limited ( SBI ),-0.19785041669695103,0.3180131881089066
NIC Asia Bank Limited ( NICA ),-0.022332564480017525,0.3027450241657624
Prime Commercial Bank Limited ( PCBL ),-0.11901574305106122,0.30229012345236767
Sanima Bank Limited ( SANIMA ),-0.09969099965507033,0.27249630866897095
Siddhartha Bank Limited ( SBL ),-0.1809715048484548,0.3255394311590668
Standard Chartered Bank Nepal Limited ( SCB ),-0.16291671527771512,0.32349866740027927
Garima Bikas Bank Limited ( GBBL ),-0.005407579915536642,0.3822759502341576
Jyoti Bikash Bank Limited ( JBBL ),0.009929372300070627,0.39787624815311773
Karnali Development Bank Limited ( KRBL ),0.08915529406787126,0.4841884366529621
Miteri Development Bank Limited ( MDB ),-0.037354709715881174,0.4176993690593048
Muktinath Bikas Bank Limited ( MNBBL ),-0.10663596880033066,0.34292319970126256
Shangrila Development Bank Limited ( SADBL ),-0.012445826069737431,0.41835651219470854
Shine Resunga Development Bank Limited ( SHINE ),0.008123367184924124,0.3884889609514406
ICFC Finance Limited ( ICFC ),0.0999165699742357,0.42493928789070706
Pokhara Finance Limited ( PFL ),0.06463926999337444,0.4444202815942814
Oriental Hotel Limited ( OHL ),0.07332049318124567,0.4155203265115301
Soaltee Hotel Limited ( SHL ),0.052365673860201634,0.3588720140406524
Api Power Company Limited ( API ),-0.09411748158725308,0.46573868170007804
Arun Valley Hydropower Development Company Limited ( AHPC ),-0.03777354854730719,0.4681689131669646
Butwal Power Company Limited ( BPCL ),-0.07621054837909136,0.32458882404963774
Chilime Hydro power Company Limited ( CHCL ),-0.0706624506406961,0.32778057306731595
Ngadi Group Power Limited ( NGPL ),0.017486363994049015,0.5079053431903492
Sanima Mai Hydropower Limited ( SHPC ),-0.10767079387601963,0.4099968141068895
Citizen Investment Trust ( CIT ),-0.07189063296805664,0.37986112484536216
Hydroelectricity Investment and Development Company Limited ( HIDCL ),-0.0298686899427274,0.41637599223105765
Asian Life Insurance Company Limited ( ALICL ),-0.11196178213248531,0.4227326449009859
Life Insurance Corporation Nepal Limited ( LICN ),-0.07553577475485318,0.3668867109686282
National Life Insurance Company Limited ( NLICL ),-0.16001459296567933,0.38704989248460175
Nepal Life Insurance Company Limited ( NLIC ),-0.18618659588701525,0.34984352516773465
Neco Insurance Co. Ltd. (NIL),-0.00040235023267387593,0.3882816541449287
Nepal Insurance Co. Ltd. (NICL),0.005904901942676455,0.459117623866753
Shikhar Insurance Co. Ltd. (SICL),-0.13460292989919387,0.3714706382385142
